"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"935_05",0.00292845626643115,0.00308321959666325,0.003551583679325,0.00376272858730118,0.00359793391854828,0.00356282281109933,0.00350348491495226,0.00342092701818232,0.00391727284494684,0.00350432185182031,0.00342745708577763,0.832475380013343,0.0032558022404267,0.00390189068238368,0.00354101373489376,0.00342870339086796,0.0725880145166164,0.0240747432095197,0.00330530175285563,0.00344483388794285,0.00346068403684985,0.00826342395925292
"928_03",0.801312276703962,0.00970478551471571,0.00914510833713941,0.0134530830585539,0.00955181357239123,0.00964689311716838,0.00921424580771081,0.00990124420946584,0.0127789033460418,0.0101828373966732,0.00942314160239455,0.00848863610112704,0.00876856093666271,0.00893348468236296,0.00885601931741623,0.0085342806298022,0.00858951523126284,0.00928824871996849,0.00844437129639852,0.00862137854709904,0.00884633686940349,0.00831483500227937
"920_06",0.487499289165613,0.0233615368210506,0.0215120363509379,0.0599952095666038,0.0248153942857235,0.026150672417289,0.0239426247266028,0.0261596964436447,0.0274700161153693,0.0279372789862817,0.0223490257657801,0.0215518150746909,0.020667947097149,0.0208774536427348,0.0213200032362751,0.0207216071580355,0.0200069556933372,0.0219842759861229,0.0207362005890655,0.0212983533388226,0.0211625084205551,0.0184800991183148
"935_07",0.0360639317373878,0.0266434536706564,0.0247944630733946,0.0271575390109355,0.0255796816560383,0.0255494265452339,0.02496698079974,0.0250211379347458,0.0250551673539145,0.0265537583544849,0.0258184202298417,0.0239126978378085,0.0267121496960634,0.0250253766911385,0.0254174288045635,0.0264015961033197,0.0240866516766394,0.0259488816486377,0.0257170108627614,0.0254918812957461,0.0262516679438697,0.451830697073079
"935_10",0.273929365484706,0.00615310315765186,0.0057241761527297,0.00594108722045408,0.00588774669564736,0.00577736792504871,0.00549029048807239,0.00611095404517086,0.0151487515513686,0.00554417962178729,0.00601607812536415,0.00545281731794847,0.00549010444070554,0.00554231456907726,0.0055570153639887,0.00567686059478819,0.00555666218902987,0.00561169067540043,0.00565192212515408,0.00538148353161477,0.00568610165947176,0.60266992706482
"930_06",0.00340570639614659,0.0035183832740118,0.00388576113627208,0.00416392581607131,0.00409236024030413,0.00394567515194707,0.00392493376721281,0.00401765359934533,0.00440886641907651,0.00454770966213904,0.00429195646764412,0.00451487467360697,0.00403153769309105,0.00379571985099295,0.0038211191624849,0.00386941530112425,0.00401546944694062,0.00398782216959949,0.00403779581200695,0.00407623562606411,0.0039207811414823,0.915726297192436
"928_05",0.0406186583212664,0.0430734471482346,0.0416862573223096,0.0525696374658919,0.0504511447470473,0.04993533542202,0.047296321668414,0.0522501482895835,0.0524326145916248,0.0569027732831586,0.0478129483002045,0.0470928890269688,0.0400680591236515,0.041456358945977,0.0466681557305177,0.0435191802933672,0.0418065528717054,0.0444112281024442,0.0405986110256884,0.0402302623458806,0.0416554625715618,0.0374639534024824
"928_01",0.169253679296994,0.0463098455516649,0.0363951863205465,0.0410878226798421,0.0415991797566467,0.0691164291816493,0.0404832786590171,0.040624840732776,0.0405878065240819,0.045477712182618,0.0368252838322392,0.0366475993938102,0.0357476002923729,0.0352854611172623,0.0383677932959782,0.0369397302457462,0.0384636183613282,0.0378342692924637,0.0350613212902314,0.0349557118152564,0.0352990545574825,0.0276367756199919
"928_10",0.0480862078759488,0.0461924859754259,0.0483456176415372,0.051450218443041,0.0461620848130985,0.0471912642480407,0.0459297422883919,0.0462517762505466,0.0468983746808107,0.0471711711756991,0.0463786892710512,0.046050980821831,0.0432551311277246,0.043851651012251,0.0459510833235913,0.0445372352236285,0.0415735627382938,0.0439529741149012,0.0426752275069105,0.0427589781309211,0.042052752626872,0.0432827907094834
"930_08",0.00332959836425811,0.003054436601391,0.00321100255825344,0.00326353685932436,0.00327336548900352,0.00330176715052089,0.00337403734523451,0.00327081249083564,0.00328076629079311,0.00383882760915729,0.00314209491564893,0.431834984976749,0.00346822316997086,0.0034240385283679,0.00344014264299688,0.00340043348038778,0.456949225769572,0.0462946996955311,0.00324045874734404,0.00340718704490113,0.00333509386763585,0.0048652664021225
