"class","gene_id","logFC","adj.P.Val","direction"
4,"HAGH",1.41328235985382,0.0013123496006818,"Up"
4,"RPS27A",-1.02158723425474,0.0013123496006818,"Down"
4,"MPP1",1.52509109755786,0.00144517393484248,"Up"
4,"DNAJC6",3.1906965851281,0.00150243062570757,"Up"
4,"CLTCL1",2.35824942774436,0.00150243062570757,"Up"
4,"VCAN",2.1702271289552,0.00151429642244429,"Up"
4,"TKT",1.21165655195232,0.00175184820488355,"Up"
4,"TFRC",1.06875178772233,0.00200583955811514,"Up"
4,"ERAL1",1.3324257548056,0.0020535113826336,"Up"
4,"ABCC5",1.11795778541934,0.00207854662026015,"Up"
4,"FHDC1",2.87364570015652,0.00208392438423897,"Up"
4,"CIT",1.1183492584567,0.00208443051326849,"Up"
4,"GBP4",-1.70860332387872,0.00212703352050041,"Down"
4,"COX7C",-1.03046858644723,0.00218812750826592,"Down"
4,"BLVRB",2.29664671031129,0.00223346775497882,"Up"
4,"CPOX",1.32557650201644,0.00223346775497882,"Up"
4,"CD2",-1.68259878987222,0.00233764081109392,"Down"
4,"CLEC12A",2.98359508431837,0.00246206893492977,"Up"
4,"B4GALT5",1.00117759143706,0.00246206893492977,"Up"
4,"FECH",1.75870219461818,0.00261347380679878,"Up"
4,"SEC61B",-1.31594985507637,0.00270015120080228,"Down"
4,"STRADB",1.39092865852332,0.00271187765604123,"Up"
4,"PIGQ",1.89544293690202,0.00277092815980316,"Up"
4,"SYPL1",-1.23004224396951,0.00277092815980316,"Down"
4,"TRAK2",1.05553646666635,0.00337611918857778,"Up"
4,"EPOR",2.35289905051609,0.00362237357835008,"Up"
4,"CD3E",-1.63103395902477,0.00362237357835008,"Down"
4,"TFDP1",1.16291285235991,0.00362237357835008,"Up"
4,"ERAP2",-1.01259155595131,0.00410364574673116,"Down"
4,"C21orf58",1.909978052658,0.00413388166211857,"Up"
4,"MAP2K3",1.03778309110799,0.00423941894165913,"Up"
4,"GZMK",-1.89238031948364,0.00505184078680115,"Down"
4,"ATG4C",-1.13363408273626,0.00527772700923083,"Down"
4,"DYSF",1.71038876547074,0.00540013735868469,"Up"
4,"UBD",-1.91679163975247,0.00576651020580939,"Down"
4,"MBOAT2",1.39315437683622,0.00576651020580939,"Up"
4,"PRC1",1.37679454851321,0.00576651020580939,"Up"
4,"CCL5",-1.68996040956147,0.00577522984510118,"Down"
4,"PFKFB4",2.41679758591418,0.0060288406346587,"Up"
